Номер,Имя клиента,Остаток  дней,Баланс,Пакет,Скоро закончится
1,seyranchik,1 день,0.000000,НТВ+ HD (36E),Внимание ! ! !
2,stamov,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
3,lukich,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
4,client02,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
5,edem21,83 дня,0.000000,НТВ+ HD (36E),Норма
6,seyranbaba,170 дней,0.000000,НТВ+ HD (36E),Норма
7,nannik2,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
8,fedko91,[INFO] Подписка не активна!,0.000000,Континент ТВ (85.2Е),
9,tescha2,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
10,gar6319,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
11,rus10b,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
12,bar27,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
13,ssh42a,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
14,dasha1,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
15,galabs2,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
16,galakb,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
17,ssh41bk32,129 дней,0.000000,НТВ+ HD (36E),Норма
18,chetverg,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
19,gigi1,[INFO] Подписка не активна!,0.000000,Взрослый VIP,
20,ship44,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
21,vikodess2,[INFO] Подписка не активна!,0.000000,НТВ+ Базовый Запад (36E),
22,gag13k7,14 часов,0.000000,НТВ+ HD (36E),Внимание ! ! !
23,mutter,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
24,gala8,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
25,kokteprim2,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
26,fedko36b,[INFO] Подписка не активна!,0.000000,НТВ+ Восток (56E),
27,uberkit,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
28,fortnoxkonst,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
29,fortsaun,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
30,ageev32,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
31,galzem1,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
32,galzemuk,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
33,fortcab1,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
34,underground,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
35,jurav1,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
36,galaprim1,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
37,galaprim3,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
38,elvidin,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
39,Bust10a,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
40,krym29362,54 дня,0.000000,НТВ+ HD (36E),Норма
41,Fonwall1,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
42,fonvip1,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
43,engel6,301 день,0.000000,НТВ+ Базовый Запад (36E),Норма
44,rublev1,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
45,vitalyprazd,220 дней,0.000000,НТВ+ HD (36E),Норма
46,pervush1k60,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
47,vadsultan,22 часа,0.000000,НТВ+ HD (36E),Внимание ! ! !
48,client01,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
49,krym10,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
50,nannik1,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
51,cent2,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
52,client3,[INFO] Подписка не активна!,0.606616,НТВ+ Базовый Запад (36E),
53,tescha,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
54,koobikroobik,[INFO] Подписка не активна!,0.000029,"SkyDE, HD+, TivuSat, XXX",
55,rus10a,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
56,tam3,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
57,adbul7,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
58,adbul7a,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
59,galabs1,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
60,shevch33,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
61,galakb2,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
62,borfather,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
63,galabs3,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
64,franklin,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
65,vikodess,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
66,svir1,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
67,ssh39ak9,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
68,megamix,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
69,kokteprim1,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
70,fedko36a,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
71,borfather2,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
72,fortnox,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
73,deryabkin,26 дней,0.000000,НТВ+ HD (36E),Норма
74,mos17,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
75,seyraga,171 день,0.000000,НТВ+ HD (36E),Норма
76,galzem2,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
77,galzemuk2,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
78,imper18,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
79,schebet1,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
80,test0284,[INFO] Подписка не активна!,0.000000,НТВ+ Базовый Запад (36E),
81,galaprim2,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
82,bedroommy,[INFO] Подписка не активна!,0.097209,НТВ+ HD (36E),
83,galabs8n,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
84,krym2936,54 дня,0.000000,НТВ+ HD (36E),Норма
85,bizukovy,278 дней,0.000000,НТВ+ HD (36E),Норма
86,Fonwall2,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
87,fonvip2,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
88,rublev2,[INFO] Подписка не активна!,0.000000,НТВ+ HD (36E),
89,turetskiye,48 дней,0.000000,НТВ+ HD (36E),Норма
